ID,NAME,ADDR,X,Y,T_CNT,T_M_CNT,T_F_CNT,S_CNT,S_M_CNT,S_F_CNT,C_CNT,L1_C_CNT,L2_C_CNT,L3_C_CNT,STU_CNT,STU_M_CNT,STU_F_CNT,L1_STU_M_CNT,L1_STU_F_CNT,L2_STU_M_CNT,L2_STU_F_CNT,L3_STU_M_CNT,L3_STU_F_CNT,G_STU_CNT,G_STU_M_CNT,G_STU_F_CNT,NA_STU_CNT,NA_STU_M_CNT,NA_STU_F_CNT,SL_AREA,SB_AREA,AU_CNT,AU_AREA,CR_CNT,CR_AREA,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,國中專任教師數,國中男專任教師數,國中女專任教師數,國中職員數,國中男職員數,國中女職員數,國中班級數,國中一年級班級數,國中二年級班級數,國中三年級班級數,國中學生數,國中男學生數,國中女學生數,國中一年級男學生數,國中一年級女學生數,國中二年級男學生數,國中二年級女學生數,國中三年級男學生數,國中三年級女學生數,國中上學年畢業生數,國中上學年男畢業生數,國中上學年女畢業生數,國中原住民學生數,國中男原住民學生數,國中女原住民學生數,國中校地面積,國中校舍面積,國中禮堂座數,國中禮堂面積,國中教室間數,國中教室面積,資料時間
54515,縣立西湖國中,[368]苗栗縣西湖鄉龍洞村一鄰1之1號,228200.89,2715671.46,16,10,6,3,0,3,5,2,1,2,72,39,33,11,12,13,11,15,10,17,8,9,2,2,0,25184,3081,1,0,14,0,112Y
54516,縣立頭份國中,[351]苗栗縣頭份市中央路275號,240017.588,2731638.516,91,25,66,8,0,8,34,11,12,11,954,494,460,161,139,167,158,166,163,299,159,140,25,15,10,36807,14906,1,0,43,0,112Y
54518,縣立文英國中,[351]苗栗縣頭份市尖下里200號,237875.439,2727655.156,22,4,18,3,1,2,6,2,2,2,135,66,69,15,23,25,19,26,27,65,37,28,5,3,2,21419,4834,0,0,25,0,112Y
54519,縣立竹南國中,[350]苗栗縣竹南鎮正南里中正路92號,237457.295,2730774.53,101,32,69,9,0,9,36,13,11,12,962,486,476,177,170,145,136,164,170,313,159,154,33,15,18,70503,20856,1,0,82,0,112Y
54520,縣立照南國中,[350]苗栗縣竹南鎮佳興里３鄰公教路2號,237551.269,2731849.83,129,35,94,12,0,12,50,16,17,17,1394,699,695,218,232,218,233,263,230,478,233,245,23,14,9,69626,19758,1,0,69,0,112Y
54521,縣立三灣國中,[352]苗栗縣三灣鄉三灣村忠信路17號,245301.83,2726970.66,18,6,12,3,1,2,4,2,1,1,79,46,33,21,5,12,13,13,15,37,19,18,4,2,2,23062,4294,1,0,18,0,112Y
54522,縣立南庄國中,[353]苗栗縣南庄鄉東村中正路165號,250060.491,2721979.186,18,7,11,4,1,3,6,2,2,2,84,47,37,17,8,15,14,15,15,33,18,15,37,17,20,20857,4826,1,0,21,0,112Y
54523,縣立造橋國中,[361]苗栗縣造橋鄉造橋村1鄰老庄27號,236217.858,2725931.947,22,5,17,3,1,2,6,2,2,2,92,54,38,17,9,17,14,20,15,35,17,18,5,3,2,21084,5983,1,0,23,0,112Y
54524,縣立大西國中,[361]苗栗縣造橋鄉大中街73號,239345,2724280.01,15,7,8,4,2,2,4,2,1,1,75,37,38,14,15,12,10,11,13,27,14,13,0,0,0,21895,6109,1,0,18,0,112Y
54525,縣立後龍國中,[356]苗栗縣後龍鎮南龍里勝利路250號,228242,2723400.01,20,8,12,4,2,2,8,3,2,3,161,79,82,31,30,21,23,27,29,67,35,32,2,0,2,26329,9037,1,0,21,0,112Y
